"ID","DT","YEAR","MONTH_NBR","MONTH","DOMESTIC_FARE_AMT","DOMESTIC_FARE_AMT_PY","DOMESTIC_FARE_VAR","YTD_DOM_FARE_AMT","YTD_DOM_FARE_AMT_PY","YTD_DOM_FARE_VAR","INTERNATIONAL_FARE_AMT","INTERNATIONAL_FARE_AMT_PY","INTERNATIONAL_FARE_VAR","YTD_INTL_FARE_AMT","YTD_INTL_FARE_AMT_PY","YTD_INTL_FARE_VAR","TOTAL_FARE_AMT","TOTAL_FARE_AMT_PY","TOTAL_FARE_VAR","YTD_TOT_FARE_AMT","YTD_TOT_FARE_AMT_PY","YTD_TOT_FARE_VAR","TOT_AIRLINE_FEE_AMT","TOT_AIRLINE_FEE_AMT_PY","TOT_AIRLINE_FEE_VAR","YTD_TOT_AIRLINE_FEE_AMT","YTD_TOT_AIRLINE_FEE_AMT_PY","YTD_TOT_AIRLINE_FEE_VAR","TOT_GOVT_FEE_AMT","TOT_GOVT_FEE_AMT_PY","TOT_GOVT_FEE_VAR","YTD_TOT_GOVT_FEE_AMT","YTD_TOT_GOVT_FEE_AMT_PY","YTD_TOT_GOVT_FEE_VAR","TOT_TAXES_AMT","TOT_TAXES_AMT_PY","TOT_TAXES_VAR","YTD_TOT_TAX_AMT","YTD_TOT_TAX_AMT_PY","YTD_TOT_TAX_VAR","TOT_CREDIT_SALES_AMT","TOT_CREDIT_SALES_AMT_PY","TOT_CREDIT_SALES_VAR","YTD_TOT_CREDIT_SALES_AMT","YTD_TOT_CREDIT_SALES_AMT_PY","YTD_TOT_CREDIT_SALES_VAR","TOT_CASH_SALES_AMT","TOT_CASH_SALES_AMT_PY","TOT_CASH_SALES_VAR","YTD_TOT_CASH_SALES_AMT","YTD_TOT_CASH_SALES_AMT_PY","YTD_TOT_CASH_SALES_VAR","TOT_SALES_AMT","TOT_SALES_AMT_PY","TOT_SALES_VAR","YTD_TOT_SALES_AMT","YTD_TOT_SALES_AMT_PY","YTD_TOT_SALES_VAR","TOT_CANCEL_PENALTY_AMT","TOT_CANCEL_PENALTY_AMT_PY","TOT_CANCEL_PENALTY_VAR","YTD_TOT_CANCEL_PENALTY_AMT","YTD_TOT_CANCEL_PENALTY_AMT_PY","YTD_TOT_CANCEL_PENALTY_VAR","EMD_SALES_AMT","EMD_SALES_AMT_PY","EMD_SALES_VAR","YTD_EMD_SALES_AMT","YTD_EMD_SALES_AMT_PY","YTD_EMD_SALES_VAR","TOT_AVG_DAILY_SALES_AMT","CREDIT_FLT_CNT","CREDIT_FLT_CNT_PY","CREDIT_FLT_VAR","YTD_CREDIT_FLT_CNT","YTD_CREDIT_FLT_CNT_PY","YTD_CREDIT_FLT_VAR","CASH_FLT_CNT","CASH_FLT_CNT_PY","CASH_FLT_VAR","YTD_CASH_FLT_CNT","YTD_CASH_FLT_CNT_PY","YTD_CASH_FLT_VAR","DOM_FLT_CNT","DOM_FLT_CNT_PY","DOM_FLT_VAR","YTD_DOM_FLT_CNT","YTD_DOM_FLT_CNT_PY","YTD_DOM_FLT_VAR","INTL_FLT_CNT","INTL_FLT_CNT_PY","INTL_FLT_VAR","YTD_INTL_FLT_CNT","YTD_INTL_FLT_CNT_PY","YTD_INTL_FLT_VAR","TOT_FLT_CNT","TOT_FLT_CNT_PY","TOT_FLT_VAR","YTD_TOT_FLT_CNT","YTD_TOT_FLT_CNT_PY","YTD_TOT_FLT_VAR","EMD_TRAN_CNT","EMD_TRAN_CNT_PY","EMD_TRAN_VAR","YTD_EMD_TRAN_CNT","YTD_EMD_TRAN_CNT_PY","YTD_EMD_TRAN_VAR","CARR_CNT","RETAIL_LOCATIONS_CNT","STP_LOCATIONS_CNT","VTC_LOCATIONS_CNT","SEG_CNT","DIST_ORIG_DEST_PAIR_CNT","MTHLY_LOGIN_CNT","CORPORATE_TRAN_CNT","CORPORATE_TRAN_CNT_PY","CORPORATE_TRAN_VAR","ONLINE_TRAN_CNT","ONLINE_TRAN_CNT_PY","ONLINE_TRAN_VAR","LEISURE_TRAN_CNT","LEISURE_TRAN_CNT_PY","LEISURE_TRAN_VAR","ALL_TRAN_CNT","ALL_TRAN_CNT_PY","ALL_TRAN_VAR","TYPE","AVG_TKT_PRICE","AVG_TKT_PRICE_PY","AVG_TKT_PRICE_VAR","TKT_CNT","TKT_CNT_PY","TKT_CNT_VAR"
"25","2011-01-01","2011","1","Jan","2832262643.0000","2618090447.0000","0","2832262643.0000","2618090447.0000","0.0818047352968322","2675115831.0000","2384427194.0000","0.121911307559093","2675115831.0000","2384427194.0000","0.121911307559093","5507378474.0000","5002517641.0000","0.100921349854366","5507378474.0000","5002517641.0000","0.100921349854366","264253802.4000","191565936.2000","0.379440456074153","264253802.4000","191565936.2000","0.379440456074153","714363514.1000","679981272.5000","0.0505635125414428","714363514.1000","679981272.5000","0.0505635125414428","978617316.4000","871547208.7000","0.122850611683681","978617316.4000","871547208.7000","0.122850611683681","5921764365.0000","5368511274.0000","0.103055216383625","5921764365.0000","5368511274.0000","0.103055216383625","652714318.4000","581391064.6000","0.12267690052834","652714318.4000","581391064.6000","0.12267690052834","6574478683.0000","5949902338.0000","0.104972537282006","6574478683.0000","5949902338.0000","0.104972537282006","88482867.6700","75837529.3700","0.166742487592196","88482867.6700","75837529.3700","0.166742487592196","0.0000","0.0000","0","0.0000","0.0000","0","12695.0000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","193","14717","733","1255","2400798673","158994","238094","0","0","0","0","0","0","0","0","0","0","0","0","M","0.0000","0.0000","0","117713748","85677975","0.373909082234962"
"26","2011-02-01","2011","2","Feb","3009477438.0000","2729306228.0000","0","5841740081.0000","5347396675.0000","0.0924456209338538","2830852276.0000","2492234720.0000","0.135869046876933","5505968107.0000","4876661914.0000","0.129044457888987","5840329714.0000","5221540948.0000","0.118506925860078","11347708188.0000","10224058589.0000","0.109902499992413","297268856.1000","216907354.7000","0.370487674385898","561522658.5000","408473290.9000","0.37468635284031","736579236.4000","701692209.3000","0.0497184187562847","1450942750.5000","1381673481.8000","0.0501343259550427","1033848093.0000","918599564.0000","0.125461118768831","2012465409.4000","1790146772.7000","0.124190172610644","6207069984.0000","5564625171.0000","0.115451588068878","12128834349.0000","10933136445.0000","0.109364582616805","749952596.2000","651319791.5000","0.151435294899986","1402666914.6000","1232710856.1000","0.137871795043405","6957022581.0000","6215944963.0000","0.119222036618924","13531501264.0000","12165847301.0000","0.112253090903726","82844799.4500","75804481.0400","0.0928746996669631","171327667.1200","151642010.4100","0.129816642873404","0.0000","0.0000","0","0.0000","0.0000","0","14907.0000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","193","14655","727","1285","2439460127","159900","214310","0","0","0","0","0","0","0","0","0","0","0","0","M","0.0000","0.0000","0","112365767","85367200","0.31626393978015"
"27","2011-03-01","2011","3","Mar","3575285693.0000","3299552911.0000","0","9417025774.0000","8646949586.0000","0.0890575549609779","3435465415.0000","3115897290.0000","0.102560545248268","8941433522.0000","7992559204.0000","0.118719710893742","7010751108.0000","6415450200.0000","0.0927917588698608","18358459296.0000","16639508789.0000","0.103305363685757","377278048.6000","278794347.5000","0.353248557523212","938800707.1000","687267638.4000","0.365989979224955","859268922.7000","819854655.0000","0.0480747013627678","2310211673.2000","2201528136.8000","0.0493673165394903","1236546971.0000","1098649003.0000","0.125515945150318","3249012380.4000","2888795775.7000","0.124694382250927","7435547180.0000","6826158040.0000","0.089272638639348","19564381529.0000","17759294485.0000","0.101641821724654","909073055.8000","772283866.9000","0.17712293984475","2311739970.4000","2004994723.0000","0.152990550988099","8344620236.0000","7598441907.0000","0.0982014915863987","21876121500.0000","19764289208.0000","0.106850910233857","97322196.0200","84342729.8800","0.15388956651589","268649863.1400","235984740.2900","0.138420487739411","0.0000","0.0000","0","0.0000","0.0000","0","16251.0000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","194","14603","721","1240","2485927243","161037","263343","0","0","0","0","0","0","0","0","0","0","0","0","M","0.0000","0.0000","0","130170014","101276372","0.285294994571883"
"28","2011-04-01","2011","4","Apr","3100067255.0000","3088520496.0000","0","12517093029.0000","11735470082.0000","0.0666034629664186","3037293115.0000","3025844936.0000","0.00378346519472801","11978726637.0000","11018404140.0000","0.0871562237868686","6137360370.0000","6114365432.0000","0.00376080531262561","24495819666.0000","22753874221.0000","0.0765559934137424","367387352.9000","265167933.9000","0.385489367045975","1306188060.0000","952435572.3000","0.371418810876348","749808768.4000","757145614.8000","-0.00969013919725075","3060020441.6000","2958673751.6000","0.0342540944046952","1117196121.0000","1022313549.0000","0.0928116154704314","4366208501.4000","3911109324.7000","0.116360638099757","6551431227.0000","6483371919.0000","0.010497517163954","26115812756.0000","24242666404.0000","0.0772665151920308","791415215.9000","738009493.8000","0.0723645461862756","3103155186.3000","2743004216.8000","0.131298000671743","7342846443.0000","7221381413.0000","0.0168201931255615","29218967943.0000","26985670621.0000","0.0827586371065416","88290000.3900","84702439.6700","0.0423548688087038","356939863.5300","320687179.9600","0.113046875071594","0.0000","0.0000","0","0.0000","0.0000","0","14825.0000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","193","14547","696","1267","2521804501","161965","293296","0","0","0","0","0","0","0","0","0","0","0","0","M","0.0000","0.0000","0","115146403","96558822","0.192500080417303"
"29","2011-05-01","2011","5","May","3148184071.0000","3047441361.0000","0","15665277100.0000","14782911443.0000","0.0596882190901453","3133822812.0000","2964600724.0000","0.0570809035530681","15112549449.0000","13983004864.0000","0.0807798177849507","6282006883.0000","6012042085.0000","0.0449040100157582","30777826549.0000","28765916306.0000","0.069940766760152","368652661.9000","254437732.8000","0.448891474716049","1674840721.9000","1206873305.1000","0.387751899741643","755810250.6000","731728881.7000","0.0329102342442089","3815830692.2000","3690402633.3000","0.0339876353241816","1124462912.0000","986166614.4000","0.140236239577165","5490671413.4000","4897275939.1000","0.12116847849277","6702175758.0000","6312476971.0000","0.0617346865248469","32817988514.0000","30555143375.0000","0.0740577490090079","796878366.5000","767654794.4000","0.0380686375089225","3900033552.8000","3510659011.2000","0.110912093814234","7499054125.0000","7080131765.0000","0.059168723676995","36718022068.0000","34065802386.0000","0.0778557819348468","92584364.1400","81923138.0100","0.130136935534606","449524227.6700","402610317.9700","0.116524360171752","0.0000","0.0000","0","0.0000","0.0000","0","14656.0000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","194","14500","686","1319","2556401112","162850","303668","0","0","0","0","0","0","0","0","0","0","0","0","M","0.0000","0.0000","0","123869829","100586013","0.231481647453309"
"30","2011-06-01","2011","6","Jun","3187146728.0000","3122821411.0000","0","18852423828.0000","17905732854.0000","0.0528708309075725","2955428881.0000","2846751081.0000","0.0381760810509024","18067978330.0000","16829755945.0000","0.0735734011263465","6142575610.0000","5969572493.0000","0.0289808218600018","36920402159.0000","34735488799.0000","0.0629014715365946","334763844.1000","226805153.0000","0.475997523301422","2009604566.0000","1433678458.1000","0.401712186331692","739554843.8000","716855913.3000","0.0316645647735637","4555385536.0000","4407258546.6000","0.0336097798288401","1074318688.0000","943661066.3000","0.13845820959033","6564990101.4000","5840937005.4000","0.123961805328598","6568293449.0000","6300239257.0000","0.0425466686367781","39386281963.0000","36855382632.0000","0.0686710909033549","741311477.0000","698657436.4000","0.0610514371961532","4641345029.8000","4209316447.6000","0.102636280160482","7309604926.0000","6998896694.0000","0.0443938874346243","44027626994.0000","41064699080.0000","0.0721526756649984","92711031.8100","85663731.8800","0.082267019838361","542235259.4800","488274049.8500","0.110514186954185","0.0000","0.0000","0","0.0000","0.0000","0","14800.0000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","194","14442","667","1354","2597542316","163945","316316","0","0","0","0","0","0","0","0","0","0","0","0","M","0.0000","0.0000","0","121027565","101324847","0.194451001737017"
"31","2011-07-01","2011","7","Jul","3023434971.0000","2966439915.0000","0","21875858799.0000","20872172769.0000","0.0480872806635017","2545061981.0000","2529949011.0000","0.00597362631985471","20613040311.0000","19359704956.0000","0.0647393830561226","5568496952.0000","5496388925.0000","0.0131191638699403","42488899111.0000","40231877724.0000","0.0561003242872155","299474047.5000","211826850.8000","0.41376811470777","2309078613.5000","1645505308.9000","0.403264152969273","578646668.2000","681690478.9000","-0.151159234123785","5134032204.2000","5088949025.5000","0.00885903522988629","878120715.6000","893517329.7000","-0.0172314666859001","7443110817.0000","6734454335.1000","0.105228493154446","5884104357.0000","5863324704.0000","0.00354400515902249","45270386320.0000","42718707336.0000","0.0597321207294502","643997627.2000","606312607.4000","0.0621544387170202","5285342657.0000","4815629055.0000","0.0975394069259348","6528101985.0000","6469637311.0000","0.00903677767231178","50555728979.0000","47534336391.0000","0.0635623176296632","81484318.9300","79730974.4300","0.0219907571998804","623719578.4100","568005024.2800","0.0980881361051752","0.0000","0.0000","0","0.0000","0.0000","0","12812.0000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","195","14380","663","1393","2630543709","164787","295364","0","0","0","0","0","0","0","0","0","0","0","0","M","0.0000","0.0000","0","116526912","101969358","0.142764005633928"
"32","2011-08-01","2011","8","Aug","3051164922.0000","2802062044.0000","0","24927023721.0000","23674234813.0000","0.05291782048694","2641517433.0000","2509786436.0000","0.0524869347887415","23254557744.0000","21869491392.0000","0.0633332676637677","5692682355.0000","5311848480.0000","0.0716951690986487","48181581466.0000","45543726204.0000","0.0579191796952337","337631408.2000","218416323.1000","0.54581582277355","2646710021.7000","1863921632.0000","0.419968509545148","609161712.7000","670144252.0000","-0.0909991231261057","5743193916.9000","5759093277.5000","-0.00276074024744775","946793120.8000","888560575.1000","0.0655358197649568","8389903937.8000","7623014910.2000","0.10060180081425","6090886420.0000","5692794214.0000","0.0699291404247482","51361272740.0000","48411501550.0000","0.0609312063364413","639996392.0000","588109257.9000","0.088227031632314","5925339049.0000","5403738312.9000","0.0965259059371576","6730882812.0000","6280903472.0000","0.0716424543070895","57286611791.0000","53815239863.0000","0.0645053694239259","91407350.4100","80494418.6100","0.135573770063161","715126928.8200","648499442.8900","0.102741007198215","0.0000","0.0000","0","0.0000","0.0000","0","13249.0000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","195","14322","659","1408","2660190564","165618","346141","0","0","0","0","0","0","0","0","0","0","0","0","M","0.0000","0.0000","0","117141920","99341357","0.179185824892648"
"33","2011-09-01","2011","9","Sep","3073199368.0000","2883322841.0000","0","28000223089.0000","26557557654.0000","0.0543222179462241","2756861757.0000","2687483742.0000","0.0258152315177801","26011419501.0000","24556975134.0000","0.0592273420917493","5830061125.0000","5570806583.0000","0.0465380619731346","54011642591.0000","51114532787.0000","0.0566787887130375","351506835.0000","229872375.6000","0.529139088951061","2998216856.7000","2093794007.6000","0.431954072758423","702778035.6000","683468785.7000","0.0282518387145123","6445971952.5000","6442562063.2000","0.000529275351412962","1054284871.0000","913341161.3000","0.154316607716867","9444188808.8000","8536356071.5000","0.106348977209485","6359211699.0000","5992108493.0000","0.0612644458004809","57720484439.0000","54403610043.0000","0.0609679099121985","619208782.4000","575897195.1000","0.0752071509785341","6544547831.4000","5979635508.0000","0.0944727019973405","6978420481.0000","6568005688.0000","0.0624869728340589","64265032272.0000","60383245551.0000","0.0642858244133536","94074508.3200","83857991.1000","0.121831170601462","809201437.1400","732357433.9900","0.10492691080002","0.0000","0.0000","0","0.0000","0.0000","0","14225.0000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","196","14266","650","1436","2704501057","166757","310146","0","0","0","0","0","0","0","0","0","0","0","0","M","0.0000","0.0000","0","121223182","102832339","0.178842990238703"
"34","2011-10-01","2011","10","Oct","3041470501.0000","2908044102.0000","0","31041693590.0000","29465601756.0000","0.0534892125079056","2619327151.0000","2650827079.0000","-0.0118830565183011","28630746652.0000","27207802213.0000","0.0522991319864899","5660797652.0000","5558871181.0000","0.0183358217309263","59672440243.0000","56673403968.0000","0.0529178779642982","393181703.9000","221579982.3000","0.77444595770238","3391398560.6000","2315373989.9000","0.464730352588297","691101222.1000","677181961.3000","0.020554683372367","7137073174.6000","7119744024.5000","0.00243395690074925","1084282926.0000","898761943.5000","0.206418377904983","10528471734.8000","9435118015.0000","0.115881297728527","6253128350.0000","5977424984.0000","0.0461241030607637","63973612789.0000","60381035027.0000","0.0594984461659781","584831823.5000","565348076.6000","0.0344632761769973","7129379654.9000","6544983584.6000","0.0892891575274617","6837960174.0000","6542773060.0000","0.0451165142506104","71102992446.0000","66926018611.0000","0.0624118081680339","92879606.6000","85139962.8300","0.0909049465461224","902081043.7400","817497396.8200","0.103466564234973","0.0000","0.0000","0","0.0000","0.0000","0","13555.0000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","196","14186","626","1461","2737570863","167550","312355","0","0","0","0","0","0","0","0","0","0","0","0","M","0.0000","0.0000","0","117284585","103006625","0.13861205529256"
